made,squareMeters,numberOfRooms,hasStorageRoom,hasGuestRoom,price
2001,55825,69,0,4,5585288.1
2007,7773,100,0,8,792566.7
1991,24180,68,0,8,2425595.1
1998,30502,91,0,9,3062069.8
2000,30346,25,1,2,3047721.0
2017,20311,23,0,7,2039188.7
2006,70936,60,0,10,7094370.6
2021,56416,41,0,6,5653890.1
2006,26073,59,1,8,2612190.6
1993,79182,37,0,7,7922295.3
2008,39627,29,0,6,3964708.8
1994,97677,51,0,5,9772148.4
2014,34013,84,1,0,3411660.4
2002,55620,90,0,4,5573469.2
2011,77421,70,1,2,7743163.1
1995,50844,99,1,3,5092707.5
2003,94541,78,0,10,9460440.3
2001,10976,17,1,0,1108155.1
2009,52697,25,1,9,5278045.9
1991,38860,27,1,5,3894132.1
2002,98501,66,1,4,9856475.2
2019,49300,64,0,7,4936882.9
2015,8562,24,0,5,860330.5
2010,51585,70,1,4,5163838.0
2007,55038,46,0,6,5510722.7
1990,74166,35,1,9,7423668.0
2010,43885,69,1,6,4393918.0
1991,55391,27,0,2,5544879.1
1992,9551,27,0,6,956658.2
2012,17655,55,0,7,1769201.2
2000,28743,30,0,6,2881705.0
2016,12744,56,0,1,1279063.6
2003,34109,36,0,7,3416596.3
2001,55971,94,0,3,5600410.1
1992,8163,17,0,7,825054.2
2012,4463,93,1,2,453762.2
2020,51890,85,0,3,5194644.0
1999,88616,92,1,0,8868266.9
1997,61104,88,1,9,6124108.7
2003,31832,90,0,2,3193411.3
2019,12683,92,0,9,1275226.9
2015,37375,13,1,1,3745925.5
2016,10310,85,1,6,1041341.6
2005,38300,27,1,10,3831178.5
1998,91524,23,0,5,9160076.8
2012,41155,9,0,9,4121258.2
2014,97732,45,0,1,9774150.4
2011,5431,15,1,5,548835.1
1992,97452,83,0,7,9751753.2
2002,88935,70,0,4,8903298.2
1993,61243,58,0,5,6132501.3
1994,41367,6,1,1,4147892.4
2018,95269,87,0,2,9529625.8
1991,6501,53,1,3,658653.1
1993,44229,65,0,4,4429834.3
1995,10745,86,0,9,1080749.5
2020,33647,9,1,5,3373938.0
2012,35930,95,0,0,3598810.2
2011,37961,67,0,5,3806007.1
2013,40639,27,1,2,4074524.3
1998,18866,49,0,8,1890711.8
2017,69101,90,1,6,6914075.7
2014,94109,72,0,1,9417855.4
2015,43366,59,0,0,4346233.5
2020,85181,4,0,6,8530230.0
1999,51340,5,1,6,5138145.9
2013,48870,22,0,10,4894474.3
1990,2167,98,1,4,226782.0
2012,88926,38,0,6,8893969.2
2001,65472,69,0,8,6549900.1
2010,60060,58,0,10,6010411.0
1995,43295,34,1,5,4335970.5
2010,65322,5,1,6,6537327.0
2018,43084,5,0,1,4312866.8
2014,51419,68,1,8,5145979.4
1992,31464,21,1,1,3148466.2
2016,9503,12,1,2,955903.6
2020,33272,97,1,10,3332408.0
2006,32257,72,0,9,3239971.6
2012,61217,36,0,9,6126771.2
2003,75887,30,1,5,7592702.3
1994,73064,12,0,2,7312103.4
2012,10648,72,1,7,1071651.2
2001,4149,70,1,5,420560.1
2021,75350,6,1,3,7539904.1
2015,70345,90,1,7,7035087.5
1995,39723,57,0,1,3981216.5
2004,96429,68,1,5,9650188.4
2013,20001,37,1,7,2007477.3
1990,163,6,1,3,17363.0
1993,77882,73,1,1,7797780.3
2003,89492,44,0,8,8957726.3
1990,94972,19,0,1,9500113.0
1999,38606,28,1,6,3864489.9
1991,4389,21,1,9,441287.1
2008,9088,21,1,3,913263.8
1994,64256,37,1,9,6438154.4
2011,88976,6,1,8,8906213.1
2012,8910,20,0,7,898488.2
2019,13851,77,0,7,1392391.9
2017,15928,29,1,10,1603995.7
1996,67849,40,0,4,6792498.6
2018,91073,72,0,7,9111251.8
1991,91458,44,1,6,9149688.1
2003,46478,6,0,7,4657996.3
2017,62592,47,0,7,6262694.7
2012,60680,49,1,4,6075501.2
2015,85659,57,1,7,8567586.5
2010,35188,79,1,10,3523563.0
2008,91123,89,0,9,9116372.8
1997,78117,98,1,7,7825898.7
2009,98689,75,0,6,9874062.9
1991,1720,73,1,5,183918.1
1997,14345,37,1,9,1445853.7
1996,30914,5,1,8,3092163.6
2000,4099,27,0,8,413304.0
2019,23478,80,1,6,2351874.9
2011,1086,4,1,9,116061.1
1994,45181,78,0,10,4525938.4
2000,176,30,0,9,18985.0
2018,79680,84,0,0,7975851.8
2001,32776,72,0,8,3283690.1
2011,88755,4,1,5,8882476.1
2009,95096,68,1,0,9515861.9
2012,77212,70,1,5,7727317.2
1994,46910,80,1,8,4706368.4
2011,75487,82,0,1,7558644.1
2010,41090,24,0,2,4114595.0
2008,87111,16,1,1,8716894.8
1991,87353,5,0,8,8745540.1
2006,29664,88,1,3,2975680.6
1997,23184,56,1,3,2335644.7
1996,65482,66,0,6,6556065.6
2017,81602,9,1,2,8169478.7
1994,48129,73,0,2,4823162.4
2010,2684,97,1,8,272104.0
2013,17563,51,0,2,1762997.3
2019,37853,97,1,0,3792902.9
2014,25147,35,0,6,2521731.4
1999,23843,64,1,2,2391434.9
2010,68369,86,0,2,6843646.0
2012,11583,49,0,4,1161984.2
2020,9559,28,0,6,963514.0
2020,38611,20,0,6,3870229.0
1992,17618,9,1,1,1771805.2
2017,73903,34,0,5,7397590.7
2000,24484,22,0,8,2452550.0
2004,32442,25,0,4,3252838.4
2001,38826,53,1,5,3890080.1
2004,65340,84,1,7,6536254.4
1992,93638,51,1,9,9378471.2
2021,61146,84,0,9,6125077.1
2003,24004,62,0,4,2414637.3
1994,83588,82,1,2,8369526.4
2002,85820,72,1,1,8588402.2
1993,39799,23,0,9,3984987.3
1999,84355,23,1,9,8439985.9
1994,59747,38,0,8,5984506.4
2016,6009,36,0,9,612067.6
2017,5965,25,1,1,601173.7
2001,78079,31,1,7,7820045.1
2000,48378,17,0,1,4848213.0
1992,94695,86,0,8,9478421.2
2020,48642,56,0,7,4869835.0
2018,11524,24,0,10,1161912.8
1990,97539,70,0,10,9761326.0
2008,825,24,1,4,87430.8
2018,64365,46,1,3,6444610.8
1990,68063,52,1,4,6813816.0
1992,41848,55,0,0,4200544.2
2005,78741,54,0,2,7880701.5
2010,16824,86,0,10,1695808.0
2010,51203,59,0,5,5123643.0
2008,97108,30,0,8,9714782.8
2008,69261,41,1,3,6935036.8
2002,89425,19,0,8,8952287.2
2003,26792,67,1,1,2684819.3
2002,91443,65,1,5,9148710.2
2005,89470,47,1,8,8947834.5
2003,53313,41,0,9,5335501.3
2009,93913,6,0,0,9396713.9
2003,31042,48,1,5,3109396.3
2018,9329,18,0,8,934231.8
2017,42272,8,0,5,4232650.7
1998,30588,71,0,2,3064993.8
2013,99742,96,1,6,9984910.3
1998,33065,15,0,10,3314847.8
1995,22702,10,1,6,2271827.5
2005,31885,26,1,7,3202805.5
1996,64602,77,1,6,6467513.6
2004,75853,17,0,8,7591050.4
2017,5409,51,0,7,546201.7
2009,80699,20,0,8,8074576.9
1992,8607,17,0,1,862453.2
2017,75057,63,1,6,7518049.7
1997,70919,11,1,10,7101031.7
2015,29710,96,1,2,2978583.5
2013,61798,46,0,0,6182113.3
2014,6313,53,1,0,641055.4
2004,60375,50,0,9,6038750.4
2014,69421,45,1,9,6945284.4
2019,89086,4,1,9,8909993.9
2020,68603,60,0,2,6861289.0
2003,12448,59,1,0,1249624.3
2001,37945,85,0,5,3799158.1
1991,34867,42,1,1,3491110.1
2008,16547,85,0,10,1659757.8
2004,58218,14,0,10,5834539.4
2005,28790,88,1,10,2882833.5
1999,92822,54,0,5,9287119.9
1991,89217,75,1,8,8929604.1
2006,65822,14,0,5,6588632.6
2013,617,21,0,3,67453.3
2012,37171,98,1,9,3719105.2
1999,82918,54,0,8,8292659.9
2021,4130,26,1,7,421621.1
2020,95145,60,0,4,9519958.0
2014,58864,11,0,9,5891413.4
1999,94363,61,0,7,9440706.9
2012,78204,16,1,9,7822501.2
2012,71588,89,1,5,7161052.2
1997,68579,67,0,4,6868611.7
1996,19174,44,0,9,1923170.6
1997,90646,21,1,3,9071481.7
2020,81430,82,1,4,8147920.0
2018,99428,94,1,3,9947775.8
2015,60815,2,1,5,6089911.5
1993,95591,90,1,10,9569415.3
2009,47497,18,0,6,4761272.9
2000,65725,75,1,9,6582022.0
1991,21360,8,0,4,2139458.1
1990,56559,23,0,4,5661049.0
2002,45440,74,0,0,4550279.2
1993,13112,74,1,9,1318665.3
2012,68276,71,0,10,6829756.2
2020,64518,90,0,6,6455071.0
2008,56093,94,0,2,5619471.8
1997,84653,83,1,1,8467089.7
2019,96169,51,1,7,9620987.9
2008,57789,60,0,5,5787699.8
1993,93091,33,1,8,9317741.3
2013,87190,99,0,0,8724894.3
1996,38998,68,1,2,3910733.6
2019,97134,61,1,7,9718663.9
2001,39309,80,1,7,3939850.1
2003,70751,87,0,7,7084089.3
2013,63086,91,0,10,6312576.3
2003,25472,23,0,9,2552592.3
2013,3514,8,0,2,357856.3
1998,99134,67,1,2,9919472.8
1992,82653,31,1,3,8270829.2
2010,3723,75,1,3,378299.0
1997,28232,6,0,1,2827201.7
2020,46838,49,1,6,4691794.0
2002,90562,47,0,4,9066552.2
2003,562,95,0,10,65326.3
1992,5603,75,1,5,566684.2
2012,61704,20,1,6,6176111.2
1996,49579,99,1,8,4967775.6
2010,59885,28,1,3,5995883.0
1995,72109,81,0,8,7220099.5
2000,41965,87,0,7,4204881.0
1996,94216,32,0,3,9432083.6
2008,39166,68,1,7,3924397.8
1994,9923,41,1,7,995743.4
2000,49374,38,0,10,4944387.0
1995,76316,99,1,2,7634333.5
2013,26089,30,0,9,2615548.3
1995,98045,21,1,3,9818036.5
2021,69594,47,0,5,6963010.1
1992,56966,77,0,2,5701030.2
1996,64795,53,0,7,6489157.6
2018,39574,37,0,1,3969486.8
2014,49014,54,1,2,4908129.4
2006,17034,50,1,5,1717170.6
2015,18742,10,0,6,1879684.5
2021,98794,80,1,8,9886677.1
1996,72207,46,0,3,7230004.6
1998,54881,24,0,2,5494411.8
2010,12873,1,1,5,1288333.0
2020,66263,51,1,8,6628369.0
2002,26965,29,1,6,2703481.2
2015,9433,84,0,7,944025.5
1993,95293,80,0,5,9534163.3
1990,86619,36,1,8,8663060.0
1996,8677,63,0,3,875920.6
2014,83153,43,1,9,8326391.4
2015,81892,7,1,6,8204629.5
2007,21293,25,0,9,2131214.7
2007,43636,13,0,5,4373848.7
2018,1254,23,1,1,127840.8
2014,96953,70,0,7,9703052.4
1993,92877,22,1,8,9293826.3
2000,37312,40,1,4,3735539.0
2005,44075,60,0,8,4416478.5
2020,55845,73,0,9,5593543.0
1996,68565,89,0,6,6862474.6
2015,87484,77,1,6,8750467.5
2014,89220,31,0,8,8928266.4
1992,31525,25,0,0,3161366.2
2013,52579,55,1,7,5263918.3
2004,30803,39,1,6,3085897.4
2018,82120,31,0,0,8223358.8
2001,71171,22,0,4,7127415.1
1994,579,8,1,7,63718.4
1994,89204,69,1,6,8921053.4
2018,5904,56,1,1,595108.8
2003,92629,62,1,3,9263965.3
2005,77553,96,1,8,7763278.5
1998,3542,16,1,10,363918.8
2000,10749,68,1,8,1085899.0
1991,38021,76,0,0,3817885.1
2009,97193,47,0,5,9723642.9
2004,13309,20,0,5,1337541.4
1998,10708,84,0,10,1076965.8
2008,77460,95,1,2,7753079.8
2012,94133,93,0,10,9415634.2
2001,99869,63,0,10,9990641.1
2002,66370,15,0,7,6638720.2
2005,74780,86,0,1,7479141.5
1992,89925,25,1,6,8999987.2
2010,28808,71,0,3,2888357.0
1990,28640,68,0,1,2870927.0
2001,15517,54,1,4,1554406.1
2011,11059,42,1,0,1113128.1
2010,86183,10,0,0,8624347.0
2013,19408,71,0,5,1953014.3
2001,26958,32,0,0,2706761.1
2008,45859,4,0,9,4595196.8
2019,55845,54,0,7,5588845.9
2009,43304,52,0,9,4337442.9
2007,79511,16,1,5,7953040.7
1992,88501,53,1,8,8853507.2
2006,75616,74,0,9,7571050.6
2002,18368,21,0,10,1837769.2
2010,5375,33,0,3,550909.0
2001,6707,72,1,0,673817.1
1995,92190,11,0,2,9225418.5
2011,25432,58,1,7,2550518.1
1996,37793,34,0,0,3786136.6
2019,60854,27,1,1,6092125.9
2007,91531,85,0,1,9157941.7
1990,68876,40,1,2,6891640.0
2019,7608,98,1,4,764900.9
2004,68717,60,1,4,6877356.4
2008,65723,52,0,4,6578284.8
1990,80039,64,1,1,8008148.0
1990,62744,34,1,4,6279042.0
2016,33624,60,0,1,3371675.6
1995,7939,23,1,9,806234.5
2006,62854,33,1,10,6289045.6
2002,51757,81,1,4,5177725.2
2018,32497,56,1,1,3253783.8
2019,32267,51,0,2,3235159.9
2009,92490,40,1,2,9254979.9
2019,72677,78,1,10,7274269.9
2013,68744,89,1,3,6883722.3
2005,87436,65,0,6,8753875.5
1990,80776,37,1,8,8086132.0
2001,30472,87,0,1,3053446.1
1999,52141,65,0,5,5218700.9
2007,51777,6,0,8,5186005.7
2002,40280,72,0,6,4036659.2
1992,79457,58,0,6,7949180.2
2017,93568,51,1,7,9362309.7
2016,656,98,1,10,68528.6
1992,28997,16,1,5,2906243.2
1995,97147,4,1,0,9722196.5
2013,69411,45,0,3,6945253.3
2012,38190,42,1,0,3828288.2
1990,81473,12,1,2,8154129.0
2007,23682,31,0,4,2381051.7
1996,81448,44,1,8,8146243.6
2005,16127,73,0,6,1615094.5
1995,61486,18,1,7,6155982.5
2005,96526,1,0,6,9657380.5
2017,55287,83,0,3,5529453.7
2012,86820,16,0,1,8683419.2
1990,93373,79,0,4,9348395.0
2021,33098,24,0,5,3318507.1
1992,69898,71,1,3,6994429.2
2013,11401,44,0,3,1152914.3
2007,66705,50,0,9,6672336.7
2018,38947,88,1,8,3900872.8
2004,65205,6,0,5,6523874.4
2003,19339,2,1,4,1939172.3
2005,23971,18,1,7,2402438.5
2013,50944,19,0,1,5099151.3
2002,43283,59,1,10,4336072.2
2000,29323,58,0,8,2938369.0
1994,81362,72,1,6,8144502.4
2012,8941,4,0,1,902785.2
2009,34967,30,0,1,3501658.9
2020,66555,56,1,4,6664457.0
2005,85985,4,1,6,8608190.5
1998,85645,49,0,0,8570147.8
1994,39215,18,0,7,3927273.4
2018,56643,14,0,7,5673199.8
2016,60479,97,0,4,6049532.6
2021,20348,57,1,2,2037902.1
2012,66371,49,0,9,6646262.2
2012,31291,16,0,8,3134903.2
2014,7330,54,0,4,740586.4
2016,41502,81,1,7,4155333.6
2013,23027,52,1,6,2309849.3
2003,53371,41,0,6,5346532.3
2001,26997,44,1,1,2712687.1
1998,16806,10,0,0,1686882.8
2002,44304,87,1,5,4436179.2
2005,66563,56,0,3,6665417.5
2002,89812,74,0,8,8986041.2
2016,39302,41,0,4,3933732.6
2003,44799,32,1,6,4489422.3
1997,36268,23,1,4,3633523.7
1999,86676,22,0,3,8672062.9
2005,83120,8,1,9,8313030.5
2014,25341,85,1,0,2544899.4
2006,25105,8,0,3,2515100.6
1996,54090,61,0,0,5418306.6
2007,80610,64,1,2,8071729.7
2004,65507,43,0,2,6557760.4
1997,27204,73,0,1,2726114.7
2014,79025,88,1,7,7908018.4
2001,3452,7,0,1,355370.1
2013,21550,89,1,10,2164424.3
2012,11657,88,0,0,1170585.2
1993,28103,84,0,1,2815163.3
2017,47957,13,0,5,4801705.7
2006,63519,91,1,10,6358243.6
1990,76021,71,0,0,7607661.0
1998,88259,8,0,5,8832355.8
2014,82787,69,0,6,8289297.4
1999,56517,45,0,8,5657851.9
1996,29096,51,0,0,2913547.6
1999,36216,15,1,1,3622946.9
1998,5139,71,1,2,525841.8
2002,25487,54,1,2,2562661.2
2003,35733,25,0,3,3573868.3
2010,16735,92,0,1,1677084.0
2001,56202,3,0,5,5629550.1
2020,12426,33,1,9,1253371.0
1990,33984,100,1,3,3402691.0
2004,98651,32,1,10,9870164.4
2018,5117,58,1,6,517775.8
1999,56800,87,1,9,5683058.9
2009,90904,25,1,9,9093802.9
2004,26923,55,0,2,2698265.4
2003,15734,35,1,8,1579608.3
1996,17513,81,1,8,1761977.6
2013,14052,47,1,5,1411943.3
1996,19727,58,0,7,1984798.6
1996,77423,58,0,9,7749477.6
2002,65904,84,1,0,6596494.2
1994,29001,49,0,5,2912635.4
2018,32361,44,0,3,3240276.8
1997,93174,36,1,1,9325575.7
2021,71192,8,1,5,7129401.1
1999,68128,39,0,10,6817710.9
2015,98923,61,0,0,9897661.5
2013,72196,50,0,1,7225665.3
2004,99278,10,1,2,9932606.4
2014,30896,94,0,0,3092891.4
1994,50293,82,1,1,5038042.4
2001,18229,24,1,4,1832795.1
2008,79224,87,1,0,7926948.8
2012,91975,49,1,10,9198849.2
1993,36387,4,0,2,3642700.3
2012,32136,96,0,4,3227676.2
2015,20995,5,1,5,2103067.5
2020,94361,77,1,7,9442418.0
2004,53019,41,0,4,5306854.4
2012,8609,35,1,4,867508.2
2012,64245,59,1,5,6430465.2
2000,28192,64,0,1,2820880.0
2020,14933,56,0,7,1500885.0
2015,54323,79,0,1,5442454.5
2008,92204,27,0,10,9226065.8
2014,3314,3,1,0,336316.4
2005,17466,80,0,1,1751126.5
2008,17389,98,0,3,1744561.8
2019,23444,72,1,4,2349143.9
1991,24097,42,0,1,2416228.1
2006,59850,12,1,10,5990534.6
1994,88387,59,1,3,8845142.4
2001,17671,45,1,3,1777405.1
1998,8537,59,0,7,859540.8
2004,19183,18,1,3,1919702.4
2016,74178,54,1,9,7424829.6
2014,10562,38,0,1,1058582.4
2008,77339,55,1,8,7741650.8
2009,9842,92,1,10,987460.9
1993,39477,84,0,5,3948983.3
1997,22482,95,1,8,2256703.7
1992,26592,72,1,10,2667272.2
2013,27008,9,0,7,2714052.3
2016,48768,37,0,6,4887404.6
2003,81967,13,0,1,8208953.3
2000,94845,37,1,0,9494690.0
1990,22451,98,0,2,2250405.0
2007,89087,2,0,1,8914578.7
2007,4881,78,1,6,493342.7
2010,31484,95,0,0,3158232.0
1996,42616,83,1,1,4272292.6
2002,99840,13,1,4,9988738.2
2003,67360,55,0,6,6742928.3
2011,70010,92,0,1,7008509.1
2013,23228,16,1,3,2324503.3
2011,67055,85,1,9,6712487.1
2011,39758,19,1,0,3983187.1
1996,47618,53,0,4,4765943.6
2019,39897,78,0,9,3998497.9
1991,49729,3,1,0,4984739.1
2014,86564,12,1,1,8664807.4
2013,7426,29,0,5,748575.3
1993,97110,72,0,8,9718256.3
2010,83738,35,0,2,8379855.0
2006,77716,85,1,5,7773638.6
2011,88251,56,1,6,8828611.1
2003,38800,99,0,0,3883353.3
2005,54789,36,1,9,5480117.5
2005,99099,42,1,9,9915651.5
2015,77018,26,0,6,7704215.5
2005,69707,67,0,3,6977217.5
1996,84211,28,0,2,8426333.6
1995,59752,83,1,0,5987095.5
2005,37815,67,1,0,3783946.5
2001,18681,89,1,5,1876356.1
2006,28285,28,0,1,2840774.6
1999,59773,42,1,10,5978589.9
2008,87566,38,0,6,8759575.8
2016,58801,69,0,1,5891738.6
1996,6454,29,1,2,646692.6
2021,87590,42,0,1,8764908.1
2006,25532,94,1,3,2555050.6
1996,15791,20,0,7,1583248.6
1995,32737,24,0,10,3278517.5
2003,74097,11,0,7,7411597.3
2009,24995,59,0,3,2511825.9
1990,13591,18,0,4,1367021.0
2004,77100,83,1,8,7719293.4
1994,21189,23,0,3,2126521.4
1995,28195,80,1,5,2826549.5
2013,92363,66,1,5,9242507.3
1997,31752,69,0,7,3181933.7
2010,94966,64,1,1,9505250.0
1997,35493,27,1,2,3558407.7
2005,78152,6,0,3,7819761.5
1992,13874,91,0,4,1393115.2
2015,74893,14,0,7,7490630.5
2008,36314,100,0,5,3638453.8
1991,34804,35,0,3,3484349.1
1993,33783,24,1,4,3384758.3
2007,47739,40,0,0,4782451.7
2020,39108,64,0,5,3915608.0
2002,36823,16,1,9,3687131.2
2004,88221,94,1,5,8828225.4
2004,78977,96,0,3,7906006.4
1997,99680,12,0,2,9978509.7
1999,5658,56,1,1,577145.9
2013,15526,11,0,1,1555821.3
1990,62964,16,1,4,6298222.0
2016,89172,65,0,4,8919647.6
2003,111,32,1,7,14431.3
1998,43467,34,1,6,4350497.8
2002,35112,98,1,10,3515831.2
1994,6600,61,1,8,667067.4
1996,46709,69,1,3,4680113.6
2007,6856,55,1,6,689679.7
2014,7148,50,0,0,723077.4
1990,53062,91,0,3,5313492.0
1994,43159,96,0,10,4318950.4
1991,40705,74,0,9,4080567.1
1996,86419,3,0,9,8645299.6
1995,37225,64,1,0,3729838.5
1995,13912,15,0,8,1399630.5
2011,12228,84,1,6,1227403.1
2005,873,11,0,1,92386.5
2001,77472,32,1,3,7749318.1
2011,55812,95,1,8,5584760.1
1993,56730,16,0,9,5674735.3
1995,33002,61,1,6,3307651.5
1993,3929,61,0,9,398525.3
2011,66744,40,1,10,6681155.1
2020,92759,25,0,9,9279850.0
1990,4117,95,1,0,424791.0
1990,65476,3,0,6,6554554.0
1991,50404,92,1,0,5042499.1
2006,85421,62,1,5,8543272.6
1999,54226,21,1,8,5426007.9
2000,56287,87,0,1,5637555.0
2007,84340,37,1,0,8437869.7
2013,57577,17,1,1,5759307.3
2015,27451,80,1,9,2747145.5
2004,79814,41,1,0,7987492.4
2019,53894,15,0,3,5396620.9
1995,36095,34,1,3,3617203.5
2001,93290,54,0,6,9335722.1
2009,16478,5,1,9,1651205.9
2021,68482,51,1,6,6853208.1
2020,23614,53,0,8,2368476.0
1992,73692,80,0,7,7375143.2
1993,46227,32,0,3,4632832.3
1998,57454,35,0,7,5753949.8
2009,18929,79,1,0,1899066.9
2004,20572,37,0,3,2059597.4
1991,18012,30,1,5,1804873.1
2010,59361,29,0,0,5942427.0
2002,85444,35,0,5,8553656.2
1998,64265,50,0,7,6430203.8
2020,1986,44,1,10,207433.0
1996,16999,65,0,10,1700539.6
1990,68912,26,0,8,6902784.0
2008,59986,57,0,10,6004309.8
1994,45426,64,1,6,4543837.4
2011,28347,40,0,1,2843096.1
2012,15124,68,0,3,1514981.2
1990,72495,90,1,8,7255630.0
2011,39097,32,0,1,3915258.1
2002,45958,17,0,0,4597561.2
2000,11898,67,0,8,1191000.0
1994,54901,65,0,10,5499856.4
2009,18198,25,0,2,1828162.9
2008,98149,91,1,5,9820073.8
1998,94491,76,1,10,9456801.8
1995,63261,94,0,5,6327015.5
2017,77990,97,0,10,7809156.7
1993,4827,90,0,8,486479.3
2021,50472,71,0,3,5055489.1
2014,51798,99,1,3,5185741.4
2017,29431,69,1,9,2950835.7
1996,52915,63,0,8,5302289.6
2012,47831,78,0,5,4792760.2
2015,24511,39,0,4,2454663.5
1995,33612,29,0,7,3364167.5
1993,52223,81,0,10,5232399.3
1997,98796,32,0,6,9885975.7
2017,2770,36,0,3,285402.7
2018,58108,25,0,3,5822178.8
2011,1933,57,1,9,194307.1
2005,78046,5,1,3,7810522.5
1992,81425,17,0,8,8154947.2
1993,74709,32,1,9,7476997.3
1993,58527,27,0,2,5858721.3
2001,90505,36,1,3,9055749.1
2002,32842,93,1,3,3291228.2
1995,49531,5,1,6,4955365.5
2014,97472,83,1,9,9756768.4
2004,41117,93,0,3,4123695.4
2012,32850,49,0,1,3296112.2
2021,25762,91,0,6,2580119.1
1993,69179,60,1,4,6921389.3
2016,1333,53,0,6,139934.6
1998,91107,30,1,2,9113493.8
2011,96843,25,0,6,9688919.1
2006,24378,27,0,4,2441961.6
2016,8988,51,0,0,905757.6
1999,1549,65,0,9,165820.9
1993,79081,20,1,7,7918094.3
2002,54077,1,1,0,5410654.2
1998,7249,79,0,9,732666.8
2006,99095,77,1,7,9915571.6
1998,11292,68,0,4,1132623.8
1995,36436,85,1,2,3650349.5
2015,35727,78,1,5,3578110.5
2007,82736,15,0,8,8276711.7
2004,50024,73,1,0,5010562.4
2009,38535,52,1,5,3854588.9
2014,20820,50,0,4,2088001.4
2019,20614,15,1,5,2070677.9
2012,4776,91,0,2,486403.2
1999,44487,98,0,7,4453518.9
2011,5528,47,0,5,564350.1
2010,84165,62,0,8,8420418.0
2021,86326,18,1,8,8635482.1
1994,37868,21,1,8,3793089.4
2020,62328,54,0,8,6238922.0
2010,76184,58,0,6,7623937.0
2019,96352,25,0,8,9643641.9
2015,831,46,1,4,91333.5
2020,59764,78,0,3,5981705.0
2005,33976,71,0,9,3405161.5
2009,71627,52,1,3,7172359.9
2018,53500,26,1,6,5350627.8
2009,32085,94,0,2,3216632.9
1995,48144,72,0,1,4820543.5
2013,32939,18,1,10,3300978.3
2013,74743,10,0,7,7476064.3
1992,44436,20,0,2,4444815.2
2007,21834,73,1,1,2189064.7
2008,71104,57,1,4,7112359.8
1992,36654,43,1,8,3673319.2
2000,40195,56,1,6,4024544.0
2017,57072,13,0,7,5716738.7
2002,4750,51,1,3,478917.2
1996,43712,6,0,9,4372014.6
2005,73733,43,0,10,7377738.5
1997,46731,76,0,1,4683103.7
2002,46864,3,0,8,4690234.2
1996,6881,69,1,10,693986.6
1993,88838,41,1,7,8892157.3
2015,90350,80,0,7,9041614.5
2004,88408,37,0,0,8842527.4
2000,37017,26,1,6,3709665.0
2021,40035,37,1,0,4010245.1
2020,49740,99,0,5,4987445.0
1993,50296,62,0,6,5038241.3
2003,47237,31,1,0,4736122.3
2018,53536,62,0,0,5356837.8
1995,68348,75,1,4,6841098.5
2021,3790,7,0,3,383898.1
2000,31906,15,1,9,3194626.0
1992,51672,89,1,10,5176324.2
2018,31990,100,0,0,3204947.8
2011,12099,53,0,10,1216298.1
2017,29366,22,0,9,2941676.7
1996,429,83,1,0,49802.6
2014,65413,96,0,5,6545051.4
1994,83090,56,1,2,8315777.4
2015,16218,66,1,8,1630148.5
2000,64943,100,1,9,6495254.0
2013,1947,6,0,6,198209.3
2005,4009,37,1,4,406778.5
2020,41404,2,0,8,4147112.0
2007,34469,70,1,4,3450552.7
2020,16254,27,1,6,1630892.0
1994,63941,22,1,4,6396123.4
2003,65582,39,1,10,6563957.3
2008,49407,4,1,5,4947076.8
2011,17847,99,1,0,1796189.1
1994,73769,84,0,6,7385023.4
1992,40912,4,0,8,4100574.2
1999,30632,43,0,7,3071259.9
2004,92329,97,0,5,9242250.4
2007,94457,63,1,9,9453238.7
2005,45739,67,1,7,4576141.5
1998,31774,3,0,0,3180672.8
2011,272,79,1,9,30703.1
2020,92618,66,0,5,9267692.0
2004,97566,74,1,6,9765060.4
2008,74348,61,0,1,7438478.8
2001,34035,90,0,2,3407854.1
1998,25078,90,0,0,2514434.8
2011,80023,30,0,3,8011758.1
2021,4141,55,0,2,421086.1
2021,87245,63,0,9,8726378.1
2004,15981,9,0,2,1600688.4
2007,66944,3,0,10,6698622.7
2001,71437,100,0,9,7150458.1
1993,33742,65,0,2,3385270.3
2002,37677,5,0,8,3776536.2
1995,3760,92,0,5,382598.5
1994,1668,74,1,10,168399.4
2017,74500,68,0,5,7452595.7
2007,88272,79,0,2,8835369.7
2019,42230,5,1,8,4228536.9
2016,21346,36,0,6,2144809.6
2002,62388,33,0,4,6244189.2
2010,9196,17,0,9,926114.0
2021,3939,40,1,6,404238.1
2018,5132,54,1,2,520566.8
2005,52820,58,0,7,5289930.5
1992,56694,26,1,10,5674217.2
1991,21648,13,1,9,2177627.1
2018,11513,88,1,2,1160638.8
2013,86850,86,0,6,8685896.3
1992,84311,87,0,10,8444031.2
1991,70139,57,1,8,7021733.1
2019,38691,59,1,6,3877340.9
2004,4769,15,1,9,488123.4
2015,4456,65,1,2,451747.5
2017,66727,25,1,4,6675463.7
2003,21856,5,0,5,2190424.3
2001,73542,93,1,3,7361356.1
2007,13423,62,0,10,1344222.7
1994,91361,89,1,8,9138709.4
2015,8583,64,1,4,868189.5
1998,67671,96,0,5,6769786.8
1994,74235,80,0,0,7424923.4
2016,37531,25,1,8,3757051.6
2000,66610,8,1,10,6662840.0
2011,88869,11,0,5,8893331.1
